state,s_curs,a_curs,curs,stateT,dot,curPrd,Prdflat
3,-47.0,-27.0,753,-1,631,653,653.0
4,-29.0,8.0,724,0,608,724,815.0
7,-47.0,0.0,677,3,589,977,977.0
4,-61.0,-32.0,616,0,577,616,927.5
7,-38.0,9.0,578,3,571,878,878.0
4,-47.0,14.0,531,0,572,531,589.5
2,-30.0,8.0,501,-2,581,301,301.0
4,-15.0,32.0,486,0,597,486,492.5
6,-2.0,28.0,484,2,622,684,684.0
4,-3.0,12.0,481,0,654,481,479.0
2,-7.0,-5.0,474,-2,693,274,274.0
4,-6.0,-3.0,468,0,740,468,419.0
5,-4.0,3.0,464,1,792,564,564.0
4,0.0,6.0,464,0,850,464,414.0
2,0.0,4.0,464,-2,913,264,264.0
4,10.0,10.0,474,0,979,474,352.0
3,66.0,66.0,540,-1,1046,440,440.0
4,74.0,64.0,614,0,1115,614,443.0
1,132.0,66.0,746,-3,1182,446,446.0
4,97.0,23.0,843,0,1248,843,812.0
7,35.0,-97.0,878,3,1310,1178,1178.0
4,13.0,-84.0,891,0,1369,891,1193.5
7,18.0,-17.0,909,3,1421,1209,1209.0
4,19.0,6.0,928,0,1465,928,1122.0
5,7.0,-11.0,935,1,1503,1035,1035.0
4,9.0,-10.0,944,0,1531,944,1044.5
5,10.0,3.0,954,1,1551,1054,1054.0
4,11.0,2.0,965,0,1561,965,1117.5
6,16.0,6.0,981,2,1562,1181,1181.0
4,21.0,10.0,1002,0,1554,1002,1151.0
5,19.0,3.0,1021,1,1537,1121,1121.0
4,16.0,-5.0,1037,0,1511,1037,980.0
2,2.0,-17.0,1039,-2,1478,839,839.0
4,2.0,-14.0,1041,0,1439,1041,840.5
2,1.0,-1.0,1042,-2,1395,842,842.0
4,0.0,-2.0,1042,0,1347,1042,992.0
5,0.0,-1.0,1042,1,1296,1142,1142.0
4,-1.0,-1.0,1041,0,1244,1041,1021.0
3,-41.0,-41.0,1000,-1,1193,900,900.0
4,-48.0,-47.0,952,0,1144,952,836.0
3,-80.0,-39.0,872,-1,1094,772,772.0
4,-48.0,0.0,824,0,1056,824,860.5
